artist_name,track_name,track_id,popularity
Lil Tjay,Calling My Phone,3J8EOeKLTLXORtWPpOU5bE,85
Vigel,Human Inside (Mixed) - Avenia Remix,24bzXtg1cXXlq0dsZsBIlP,42
Baby Keem,family ties (with Kendrick Lamar),3QFInJAm9eyaho5vBzxInN,82
Beatsole,Ilanga (Mixed),6q0pmaeodL5mvnQmBoHdJe,42
Olivia Rodrigo,"jealousy, jealousy",0MMyJUC3WNnFS1lit5pTjk,87
Roman Messer,Heartbeat (Mixed),0sOmDHhnm1Yfd419a0BtSi,42
Justin Bieber,Peaches (feat. Daniel Caesar & Giveon),4iJyoBOLtHqaGxP12qzhQI,91
Orjan Nilsen,Pantheon (Mixed),1oPKiCaIzsJGtSRrIospdv,42
Summer Walker,No Love (with SZA),08SB2OtZkaliju77WYEKxk,83
Gareth Emery,Friendly Fires (Mixed),1BHyQ0pWPwYhy9MoiqRjLT,42
Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),5Z9KJZvQzH6PFmb8SNkxuk,90
Markus Schulz,Tidal Wave (Mixed) - Will Atkinson Remix,76SauoS4Rx4yxbUFMe817G,42
Olivia Rodrigo,happier,2tGvwE8GcFKwNdAXMnlbfl,88
Richard Durand,Made of Stone (Mixed),3siz1R0pjLGNdkVJ6d9wLd,42
"Tyler, The Creator",WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),5B0kgjHULYJhAQkK5XsMoC,82
Steve Aoki,Music Means Love Forever (Mixed),3gjpkrcbJGQDOqGeq4Vh29,42
Doja Cat,Kiss Me More (feat. SZA),3DarAbFujv6eYNliUTyqtz,88
Christina Novelli,My Guiding Light (Mixed),7z9ksQuLg0rmgQv44Sg5AC,42
The Kid LAROI,STAY (with Justin Bieber),5PjdY0CKGZdEuoNab3yDmX,92
Andrew Rayel,River (Mixed),3JmYStGWQx7f4bTzuT6QcN,42
Billie Eilish,Happier Than Ever - Edit,32BeYxKPrig1LefHsC0Xuo,87
Giuseppe Ottaviani,Beautiful (Mixed),4iMfdRvItBKwgD9J7NfQTa,42
ERNEST,Flower Shops (feat. Morgan Wallen),2ccuOtUjIyx3tPcsnpeBzJ,79
ReOrder,You Should Know (Mixed),2yCXrqji8SdwbGKSiBEcrf,41
Lil Tecca,LOT OF ME,2ZXxRC6V6AXzMdbLQZMHSB,82
Armin van Buuren,A State Of Trance Year Mix 2021 (Mixed) - Outro - Power Of The Present,7g0qPCcuRO60Oqfx9N0uCq,35
Oliver Tree,Life Goes On,0eu4C55hL6x29mmeAjytzC,89
Energy 52,Café Del Mar (Mixed) - Paul van Dyk's SHINE Remix,2MfoENc0KNvaGVqbXszkmy,42
JVKE,this is what falling in love feels like,4UG2Fm0E98LhE2dlNxiAXx,84
Giuseppe Ottaviani,Glowing In The Dark (Mixed),1yOJVnFH64lwAunSa8vhDy,41
Aventura,Volví,2vmfvSoZBFAt9hhRoEByLi,92
Stoneface & Terminal,Moonscape (Mixed),6cIsxNrm1X7ScYDsfdYtyn,41
Megan Thee Stallion,Megan's Piano,4HyVMzg0sUQsdOxRvSO8Ka,81
David Forbes,Equator (Mixed),4MZ7s7SZ9eNTCwPOnvxBgN,41
J. Cole,m y . l i f e (with 21 Savage & Morray),1D3z6HTiQsNmZxjl7F7eoG,82
Zaa,Yellow (Mixed) - Eugenio Tokarev Remix,0TJWnIiVZpS55xLVNO7GYY,41
DJ Khaled,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),1EJIcDYXwSqipW5dFe4uJz,81
Ben Gold,Change The World (Mixed),4vNfwWTVhB4KThdjvgZxi5,41
Carlos Vives,"Colombia, Mi Encanto",2Q5q1q01KOdHt5fM00WUJ8,83
Armin van Buuren,Magico (Mixed),1eS6ltwLFGCNJcxsSmgJSb,41
Walker Hayes,Fancy Like,3ZozFqJJlDBNIm4xqxn2ZD,81
Armin van Buuren,For All Time (Mixed),2NuSFAleZc0JdDf1A6jTsh,41
Olivia Rodrigo,brutal,6SRsiMl7w1USE4mFqrOhHC,85
Roger Shah,Burasari (Mixed),74axr78YWM39N5O6rWkp2c,41
Baby Keem,trademark usa,15hJmqqEtASVXl6sM7i4UF,81
Ciaran McAuley,Tears Don't Mean You're Losing (Mixed),0bS9nXQMa8N1pWeitVo41G,41
Shawn Mendes,It'll Be Okay,2KnLkZ3z7PO3kgVGHGqDpD,90
Elvis Costello & The Attractions,Night Rally - 2021 Remaster,53ZWOGMHGZFbp55aTbesUs,28
Kanye West,Moon,7CC6UbCs4iGsePSzFxYxNn,82
Davey Asprey,Rebirth (Mixed),3tPjADnR6TlUN0NvoYyZH2,41
